COUNTRY,YEAR,Instability_Index_lag1_Predicted,Best_EWS_Model,Crisis_Probability,Risk_Level,Early_Warning_Flag,GDP_Growth,Instability_Index,Instability_Index_lag1_IMF_Projection,Stability_Category,Crisis_Flag,Prediction_Correct
Russian Federation,2024,53.45011391805316,Extra Trees,0.6192299187907588,High,1,4.922,31.494104900555868,53.45011391805316,Moderate,0,0
"Belarus, Republic of",2024,58.32353972721626,Extra Trees,0.6157792623358372,High,1,4.35,33.751959188594185,58.32353972721626,Unstable,0,0
Georgia,2024,61.81830238455154,Extra Trees,0.6095290014148251,High,1,9.68,39.19338921855071,61.81830238455154,Unstable,0,0
Malta,2024,58.05877228027565,Extra Trees,0.6074544295548444,High,1,6.213,44.45720120453433,58.05877228027565,Unstable,0,0
"Armenia, Republic of",2024,62.70716520741416,Extra Trees,0.5978976299962925,Moderate,0,5.857,39.306816163580415,62.70716520741416,Unstable,0,1
Slovak Republic,2024,61.543152477707,Extra Trees,0.5929974635590259,Moderate,0,1.939,39.07273870991583,61.543152477707,Unstable,0,1
Ireland,2024,72.30240885501553,Extra Trees,0.5864812250504203,Moderate,0,2.599,62.66664341793601,72.30240885501553,Crisis,1,0
Nicaragua,2024,54.64930862854587,Extra Trees,0.5804005916219772,Moderate,0,3.581,52.39178518412096,54.64930862854587,Unstable,0,1
Belize,2024,66.03188766122457,Extra Trees,0.5760620698351266,Moderate,0,3.505,45.7937429070738,66.03188766122457,Unstable,0,1
"Congo, Republic of",2024,52.20341240701486,Extra Trees,0.5722207216149503,Moderate,0,2.112,32.9843288650063,52.20341240701486,Moderate,0,1
Saudi Arabia,2024,54.86698828634077,Extra Trees,0.5585713434923955,Moderate,0,2.649,31.79740190883413,54.86698828634077,Moderate,0,1
"Afghanistan, Islamic Republic of",2024,35.42591873822178,Extra Trees,0.5579476312857407,Moderate,0,1.873,39.95847607222888,35.42591873822178,Unstable,0,1
"Mozambique, Republic of",2024,57.61651976483216,Extra Trees,0.5566561820711833,Moderate,0,2.149,39.514544833304825,57.61651976483216,Unstable,0,1
Mauritius,2024,69.02867880668941,Extra Trees,0.5480902890383467,Moderate,0,4.925,44.84502459466248,69.02867880668941,Unstable,0,1
"Lesotho, Kingdom of",2024,57.91103600788857,Extra Trees,0.5456206960993316,Moderate,0,4.9,46.55345638675196,57.91103600788857,Unstable,0,1
Turkmenistan,2024,56.21070032965502,Extra Trees,0.5425890618953408,Moderate,0,3.417,34.3483006642493,56.21070032965502,Unstable,0,1
Myanmar,2024,47.77487379373733,Extra Trees,0.54178355568521,Moderate,0,-0.972,45.540823627713614,47.77487379373733,Unstable,0,1
Portugal,2024,80.9446378864663,Extra Trees,0.5241368896399379,Moderate,0,2.215,47.968329624448565,80.9446378864663,Unstable,0,1
Italy,2024,57.56663069567889,Extra Trees,0.5175599995904397,Moderate,0,0.783,45.68848458650246,57.56663069567889,Unstable,0,1
"Poland, Republic of",2024,64.76060071736832,Extra Trees,0.5161300568319079,Moderate,0,3.028,49.49725982777934,64.76060071736832,Unstable,0,1
Bhutan,2024,50.985322840749376,Extra Trees,0.513883719094444,Moderate,0,6.098,48.53198961739858,50.985322840749376,Unstable,0,1
"Estonia, Republic of",2024,50.5931365124089,Extra Trees,0.5105148853071413,Moderate,0,-0.09,40.60938528684363,50.5931365124089,Unstable,0,1
"Tajikistan, Republic of",2024,50.11615986475742,Extra Trees,0.5022114763767269,Moderate,0,8.417,39.660679937444286,50.11615986475742,Unstable,0,1
"Kazakhstan, Republic of",2024,52.92485181338312,Extra Trees,0.496630484507135,Moderate,0,5.0,34.84110697194593,52.92485181338312,Unstable,0,1
Botswana,2024,57.22880981835572,Extra Trees,0.496310758831518,Moderate,0,-2.99,58.22309444324308,57.22880981835572,Crisis,1,0
"Slovenia, Republic of",2024,64.82937366440002,Extra Trees,0.495909678292395,Moderate,0,1.731,42.61081897507564,64.82937366440002,Unstable,0,1
Albania,2024,55.05978977907645,Extra Trees,0.490546818382518,Moderate,0,4.046,41.53992167200392,55.05978977907645,Unstable,0,1
Burundi,2024,50.38856415442549,Extra Trees,0.4873013857600148,Moderate,0,4.149,63.61375074593912,50.38856415442549,Crisis,1,0
Honduras,2024,52.452230038095486,Extra Trees,0.4842810894210973,Moderate,0,3.554,28.84159065028345,52.452230038095486,Moderate,0,1
Algeria,2024,63.749468760687485,Extra Trees,0.4682697486479133,Moderate,0,3.7,39.31512211109515,63.749468760687485,Unstable,0,1
"Latvia, Republic of",2024,51.20856823033412,Extra Trees,0.4539436326014712,Moderate,0,-0.037,37.76374869589922,51.20856823033412,Unstable,0,1
Malawi,2024,51.07644539677207,Extra Trees,0.4496842969451053,Moderate,0,1.673,46.56640903352169,51.07644539677207,Unstable,0,1
Singapore,2024,60.32967843863199,Extra Trees,0.4484209912070795,Moderate,0,5.344,42.525267202815535,60.32967843863199,Unstable,0,1
Trinidad and Tobago,2024,56.74009588388554,Extra Trees,0.445542159135208,Moderate,0,2.509,44.50063554877831,56.74009588388554,Unstable,0,1
"Netherlands, The",2024,55.78379764410403,Extra Trees,0.424199840591289,Moderate,0,1.08,32.02023586042552,55.78379764410403,Moderate,0,1
Iceland,2024,49.33655167237733,Extra Trees,0.4098455180578653,Moderate,0,-1.283,37.30028763628617,49.33655167237733,Unstable,0,1
Cambodia,2024,48.47916850404569,Extra Trees,0.4098361685063302,Moderate,0,6.02,26.44095216278344,48.47916850404569,Moderate,0,1
Pakistan,2024,43.50341616256714,Extra Trees,0.4075383406117752,Moderate,0,2.634,50.48398382153887,43.50341616256714,Unstable,0,1
El Salvador,2024,79.45748838050996,Extra Trees,0.4043701770117211,Moderate,0,2.602,33.4304362431966,79.45748838050996,Moderate,0,1
"São Tomé and Príncipe, Democratic Republic of",2024,34.490902456635524,Extra Trees,0.3958822322738343,Moderate,0,1.11,48.44570016231851,34.490902456635524,Unstable,0,1
Nepal,2024,50.92941860296878,Extra Trees,0.3855298251786359,Moderate,0,3.665,36.31588329895156,50.92941860296878,Unstable,0,1
Solomon Islands,2024,31.561994966782454,Extra Trees,0.3821367324499629,Moderate,0,2.998,32.44796232087763,31.561994966782454,Moderate,0,1
Denmark,2024,55.52982994345925,Extra Trees,0.3785181345810907,Moderate,0,3.479,39.95573321497957,55.52982994345925,Unstable,0,1
"Kosovo, Republic of",2024,47.82459176358865,Extra Trees,0.37760583047466,Moderate,0,4.572,26.718581211461647,47.82459176358865,Moderate,0,1
West Bank and Gaza,2024,51.5811807230164,Extra Trees,0.3766109299176968,Moderate,0,-22.857,64.00105494005527,51.5811807230164,Crisis,1,0
United Kingdom,2024,52.20152722720697,Extra Trees,0.3730753019641186,Moderate,0,1.088,36.24799267785259,52.20152722720697,Unstable,0,1
Israel,2024,51.25672940994404,Extra Trees,0.3725641832841422,Moderate,0,0.954,37.85313742946231,51.25672940994404,Unstable,0,1
"North Macedonia, Republic of",2024,54.62173320651174,Extra Trees,0.3701573673985503,Moderate,0,2.994,37.75301263304885,54.62173320651174,Unstable,0,1
Spain,2024,68.7977356927852,Extra Trees,0.3664102493346812,Moderate,0,3.455,38.08130195830895,68.7977356927852,Unstable,0,1
Bolivia,2024,42.29843773351413,Extra Trees,0.3648018372498799,Moderate,0,-1.123,41.16351173594775,42.29843773351413,Unstable,0,1
Paraguay,2024,54.977708646231726,Extra Trees,0.3635341066180655,Moderate,0,4.669,31.76848542516105,54.977708646231726,Moderate,0,1
Bosnia and Herzegovina,2024,52.6057850236615,Extra Trees,0.3576177726017896,Moderate,0,3.227,27.721705376353608,52.6057850236615,Moderate,0,1
United Arab Emirates,2024,59.508362258246216,Extra Trees,0.3566751689485515,Moderate,0,3.992,27.53108966031675,59.508362258246216,Moderate,0,1
St. Vincent and the Grenadines,2024,53.90564792342602,Extra Trees,0.3511099916174604,Moderate,0,4.5,43.773291245241815,53.90564792342602,Unstable,0,1
"Serbia, Republic of",2024,43.83639290644548,Extra Trees,0.3484298201990798,Moderate,0,3.95,30.19877881267431,43.83639290644548,Moderate,0,1
Brunei Darussalam,2024,41.17631940853219,Extra Trees,0.3449163702642148,Moderate,0,4.053,33.43756833851491,41.17631940853219,Moderate,0,1
Czech Republic,2024,57.6442797647976,Extra Trees,0.3416690918729116,Moderate,0,1.251,36.87368382534377,57.6442797647976,Unstable,0,1
United States,2024,60.53015857938663,Extra Trees,0.3275874039301923,Moderate,0,2.793,26.752393099572608,60.53015857938663,Moderate,0,1
Thailand,2024,56.53905165797287,Extra Trees,0.3196027174634797,Moderate,0,2.945,20.89602113714985,56.53905165797287,Moderate,0,1
Jamaica,2024,62.71617436067665,Extra Trees,0.3182223837577699,Moderate,0,-0.535,32.61028339196343,62.71617436067665,Moderate,0,1
Guinea,2024,31.522955277715308,Extra Trees,0.310583475501898,Moderate,0,6.073,33.71604966757808,31.522955277715308,Unstable,0,1
Liberia,2024,44.80813965671666,Extra Trees,0.2925015459946753,Low,0,4.014,33.11738536448616,44.80813965671666,Moderate,0,1
"Ethiopia, The Federal Democratic Republic of",2024,37.69979874346247,Extra Trees,0.2897008957131811,Low,0,8.051,39.16388670749239,37.69979874346247,Unstable,0,1
"Eswatini, Kingdom of",2024,43.82999261240252,Extra Trees,0.2814901874196318,Low,0,2.974,21.04202291805044,43.82999261240252,Moderate,0,1
Brazil,2024,55.90599438206021,Extra Trees,0.2767626735948184,Low,0,3.419,22.847320979292213,55.90599438206021,Moderate,0,1
Vietnam,2024,39.70110698212745,Extra Trees,0.2752253965455833,Low,0,6.952,26.3111512122032,39.70110698212745,Moderate,0,1
Gabon,2024,49.19587451225058,Extra Trees,0.2731566933840487,Low,0,3.387,27.399357413108,49.19587451225058,Moderate,0,1
"Hong Kong Special Administrative Region, People's Republic of China",2024,32.08229618787705,Extra Trees,0.2666881391707501,Low,0,2.629,33.7255490486233,32.08229618787705,Unstable,0,1
Austria,2024,45.47710713740714,Extra Trees,0.2660966344144207,Low,0,-0.659,35.829920850473044,45.47710713740714,Unstable,0,1
Costa Rica,2024,51.67005138974056,Extra Trees,0.2647936600109155,Low,0,4.083,25.068417026712467,51.67005138974056,Moderate,0,1
Haiti,2024,38.26992762172797,Extra Trees,0.2530278920118234,Low,0,-4.185,55.71334222627438,38.26992762172797,Crisis,1,0
