COUNTRY,YEAR,Instability_Index_lag1,Best_EWS_Model,Crisis_Probability,Risk_Level,Early_Warning_Flag
"South Sudan, Republic of",2024,92.45517526300463,Extra Trees,0.9701949108459483,High,1
Ukraine,2024,81.99123457975467,Extra Trees,0.9669178430477583,High,1
Cabo Verde,2024,95.70927061383593,Extra Trees,0.9364281255797998,High,1
Mongolia,2024,84.43609026810867,Extra Trees,0.9204705302475359,High,1
Sudan,2024,85.97139479723315,Extra Trees,0.9106606910741053,High,1
"Venezuela, República Bolivariana de",2024,72.99268173669604,Extra Trees,0.8746414832190945,High,1
"Palau, Republic of",2024,68.00795323519608,Extra Trees,0.8660428000588986,High,1
"Bahamas, The",2024,75.69961683914754,Extra Trees,0.8573125493838697,High,1
Oman,2024,62.75152641541228,Extra Trees,0.8476889919989409,High,1
Lebanon,2024,93.6164960612384,Extra Trees,0.8284539316822975,High,1
Greece,2024,77.94405908841748,Extra Trees,0.820911563386657,High,1
Seychelles,2024,61.050632911825815,Extra Trees,0.8197035300606621,High,1
Sri Lanka,2024,75.03458563014759,Extra Trees,0.8087417755551995,High,1
St. Lucia,2024,80.42884270878399,Extra Trees,0.7993465339325156,High,1
"Equatorial Guinea, Republic of",2024,75.64146794259776,Extra Trees,0.7901639866775527,High,1
Argentina,2024,72.99545600914723,Extra Trees,0.7801351948243551,High,1
Zambia,2024,66.0379115439647,Extra Trees,0.7759892971040356,High,1
Angola,2024,72.72735808187527,Extra Trees,0.7731779552376599,High,1
Guyana,2024,67.88689292571145,Extra Trees,0.768527828162511,High,1
Kiribati,2024,59.3343708149364,Extra Trees,0.7601420476187178,High,1
Montenegro,2024,88.66561871316229,Extra Trees,0.7548401871968597,High,1
Suriname,2024,74.2554896604674,Extra Trees,0.7494395885509345,High,1
"Croatia, Republic of",2024,76.7029218612741,Extra Trees,0.7489741195923285,High,1
Dominica,2024,73.08497180017929,Extra Trees,0.748425086536223,High,1
Qatar,2024,65.17452215838864,Extra Trees,0.746787796025003,High,1
"Azerbaijan, Republic of",2024,79.381737294285,Extra Trees,0.7462438880800547,High,1
Maldives,2024,68.4944242415284,Extra Trees,0.7385110478458312,High,1
Libya,2024,57.840714056991175,Extra Trees,0.7337464627046224,High,1
Senegal,2024,67.08393057566538,Extra Trees,0.7183720399503667,High,1
"Bahrain, Kingdom of",2024,78.83169402928544,Extra Trees,0.7070186746038966,High,1
Ghana,2024,74.56586217179625,Extra Trees,0.6995747458072187,High,1
Cyprus,2024,75.36327047557333,Extra Trees,0.6860580048425632,High,1
Chile,2024,67.742346993256,Extra Trees,0.6831858561574407,High,1
Hungary,2024,55.8352355115319,Extra Trees,0.6825941237074322,High,1
Colombia,2024,56.28553203865153,Extra Trees,0.6689399518375392,High,1
Burkina Faso,2024,66.55507160134466,Extra Trees,0.6535023660340332,High,1
Chad,2024,56.2129875839407,Extra Trees,0.651310289089619,High,1
"Lithuania, Republic of",2024,69.01704851370027,Extra Trees,0.6464704391215575,High,1
Kuwait,2024,44.51456320082357,Extra Trees,0.6450996277286833,High,1
Norway,2024,80.6423616220874,Extra Trees,0.6428186782716694,High,1
"Mauritania, Islamic Republic of",2024,54.36265216308277,Extra Trees,0.6426168425940854,High,1
"Türkiye, Republic of",2024,48.723058300617325,Extra Trees,0.6419371964058772,High,1
Lao People's Democratic Republic,2024,75.68006117042215,Extra Trees,0.6370958558967438,High,1
Kyrgyz Republic,2024,66.64904727887105,Extra Trees,0.6357978000853933,High,1
"Moldova, Republic of",2024,55.42438813829568,Extra Trees,0.6194003792953588,High,1
Russian Federation,2024,53.45011391805316,Extra Trees,0.6192299187907588,High,1
"Belarus, Republic of",2024,58.32353972721624,Extra Trees,0.6157792623358372,High,1
Georgia,2024,61.818302384551714,Extra Trees,0.6095290014148251,High,1
Malta,2024,58.05877228027578,Extra Trees,0.6074544295548444,High,1
"Armenia, Republic of",2024,62.707165207414384,Extra Trees,0.5978976299962925,Moderate,0
Slovak Republic,2024,61.543152477707,Extra Trees,0.5929974635590259,Moderate,0
