COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag
Suriname,2029,0.99,High,1
Suriname,2030,0.99,High,1
Lebanon,2026,0.962371356253364,High,1
Suriname,2028,0.956238736399267,High,1
"Palau, Republic of",2030,0.9402189239355451,High,1
"Palau, Republic of",2029,0.923931403140218,High,1
Lebanon,2030,0.9223713562533641,High,1
"South Sudan, Republic of",2026,0.9216240152808288,High,1
"Palau, Republic of",2026,0.9142025235104334,High,1
Lebanon,2029,0.9123713562533641,High,1
Ukraine,2030,0.9097477668126875,High,1
"Palau, Republic of",2028,0.9049492305754652,High,1
Lebanon,2028,0.9023713562533641,High,1
Suriname,2027,0.8999450076406786,High,1
Ukraine,2029,0.894195974220269,High,1
Lebanon,2027,0.8923713562533641,High,1
Suriname,2026,0.8899450076406786,High,1
Ukraine,2028,0.884195974220269,High,1
"Palau, Republic of",2027,0.882117555482961,High,1
"South Sudan, Republic of",2030,0.8816240152808289,High,1
