COUNTRY,YEAR,Linear Regression_Forecast,Elastic Net_Forecast,SVR_Forecast,Random Forest_Forecast,XGBoost_Forecast
Cameroon,2025,3.745147808292427,3.6405216891241996,3.2619401161571298,3.45059668850961,2.8237636
Cameroon,2026,3.2051006673022964,3.23007718430291,3.155852340673796,3.012181420665856,2.9114654
Canada,2024,3.369762073215965,3.2711187139656204,2.691019102322777,2.598504368786793,2.6826108
Canada,2025,2.7655402205544304,2.7985934145787663,2.498930803810819,2.28203708808239,2.1904507
Canada,2026,2.137665515099356,2.280221946270176,1.8415462116096184,1.5409011273101414,1.3356022
Central African Republic,2024,1.5423209235563897,1.712323434297042,0.8867139639398398,0.952646331917436,1.0180539
Central African Republic,2025,2.1758747237287652,2.41234621973095,2.270378598541873,2.0178628738731867,2.2449756
Central African Republic,2026,2.982543572894044,3.192043521921297,5.294600764835815,3.8654287160891507,4.370971
Chad,2024,3.575643520113433,3.691894881697801,4.555673198671718,4.46785338265941,4.9502864
Chad,2025,3.759694963247245,3.8461466376493676,4.643406291009422,4.269981372684074,4.1884165
Chad,2026,5.657680989706707,5.28920653617568,5.377132537362642,4.4873290810901745,4.5936785
Chile,2024,4.892297321484962,4.579882050002063,4.281582100696308,3.368782515612879,3.703022
Chile,2025,3.187058867412886,3.2337840107837836,2.4973464610641436,1.9700291656229258,1.9868804
Chile,2026,2.8471215629910125,2.8597586232615453,2.07477498973016,2.340436126637044,2.2309968
"China, People's Republic of",2024,4.884927410502352,4.621133001843779,4.865066753479119,4.316870045064397,4.4816966
"China, People's Republic of",2025,4.211182832874189,4.07599878641294,4.3961493282198125,4.1503549051465916,4.2998886
"China, People's Republic of",2026,4.680621016551335,4.4032203578064335,4.325220377385765,4.102319493124917,4.0317035
Colombia,2024,5.497147354106593,5.068335289920982,5.355084088030539,2.9241415008515554,4.307791
Colombia,2025,4.4699643380291585,4.084626242744094,2.687305067877604,2.8010757764312415,2.2057528
Colombia,2026,3.3138576526809347,3.24168787971474,2.8556663917665124,2.343759273475066,2.4656975
"Comoros, Union of the",2024,4.172948069321633,4.095049812089813,4.040642076478012,2.789346596234131,3.0113707
"Comoros, Union of the",2025,3.807794358607734,3.823315968606958,3.7214003972160223,3.015888879410419,2.331378
"Comoros, Union of the",2026,3.600501900817569,3.6280065791053238,3.8536593656933187,3.808327391242664,3.9044588
"Congo, Democratic Republic of the",2024,5.900333991373071,5.92921627387016,6.9748502714467,6.818306225708269,6.4943337
"Congo, Democratic Republic of the",2025,6.031215970783178,5.807446886718586,6.3330706107556844,6.017518512713854,5.7110767
"Congo, Democratic Republic of the",2026,5.643093805702416,5.350696841103165,6.009040063918149,5.268570876432691,4.9137464
"Congo, Republic of",2024,2.065134299772031,2.556313489512355,5.351674253636528,1.455118545653105,1.9988925
"Congo, Republic of",2025,2.3610572431699297,2.9290297057015424,3.2313275228564993,1.7875111272077402,2.0597134
"Congo, Republic of",2026,2.6823737009891735,2.9096127108410896,3.212623499311005,2.4182556224587497,1.8475151
Costa Rica,2024,6.435322291279347,5.845138486104295,5.890503221141628,4.398614455283086,5.371931
Costa Rica,2025,5.419380879724842,5.0310014751019185,4.992737086793695,3.895450630707491,4.034157
Costa Rica,2026,4.259736124973012,4.040338343862978,4.218821902023482,3.976973490726091,4.1386495
"Croatia, Republic of",2024,7.33663229589067,6.6717458649487815,6.86669085769088,4.505796022831044,5.601521
"Croatia, Republic of",2025,4.927687643497726,4.678992228280591,4.535587058591931,4.251307590002993,4.4164352
"Croatia, Republic of",2026,3.172692833634117,3.2331741788993393,3.194070340752245,2.990155597727826,2.70604
Cyprus,2024,6.00435074205433,5.5826066139963775,5.68853288282814,4.354929487654867,4.842567
Cyprus,2025,5.639235563017235,5.305144086857946,4.36732215683133,4.388653212206776,3.6161084
Cyprus,2026,3.653672552738147,3.602945219362686,3.3535686620486147,3.48235539724563,3.4078028
Czech Republic,2024,3.7826157660898003,3.5331804398124422,2.7960046712167297,2.272637075221005,2.6682944
Czech Republic,2025,3.1973984547543455,3.1586828609821245,2.7728110253314604,1.9960054653851247,2.3732886
Czech Republic,2026,2.9286582945180513,2.971065353458198,2.9659220920312466,2.328062215743058,1.8486367
Côte d'Ivoire,2024,5.5080280497685425,5.2263929766199695,6.399995843185364,6.3571489104170045,6.423101
Côte d'Ivoire,2025,7.316909963452062,6.611468228362309,6.374129261454173,7.1032224628854825,8.662453
Côte d'Ivoire,2026,6.598449651840891,6.146543215321444,6.5604042415465,6.170893400063206,7.268939
Denmark,2024,2.913936798897838,2.87532667111586,2.5463963026149,2.7061702498105635,2.2597897
Denmark,2025,3.2209301493160134,3.2388014096948066,3.1360780578593284,2.5999340145280545,1.5902116
Denmark,2026,2.7925810912988602,2.8719098254891184,2.190652483472246,2.4861724465951287,1.4634528
Djibouti,2024,4.771386792587785,5.33921263189596,4.796170753192929,5.316207422319364,5.332215
Djibouti,2025,5.122521514405161,5.070905574710655,5.8726603130316075,6.231653507188912,6.07227
Djibouti,2026,5.660172510136055,5.554655852061195,6.307606911712983,6.026075477370509,6.1980906
Dominica,2024,4.931810795340894,4.849864324318457,4.975577747241754,5.241439207814533,6.4620442
Dominica,2025,3.8085225723387373,3.8286488517257604,3.7336211938989017,3.5063080456244418,3.1877823
Dominica,2026,5.470014172560983,5.15640630341103,4.86721896429914,4.519068078544589,4.6050525
Dominican Republic,2024,5.579013956346408,5.121668006105433,4.0313287781726155,2.7646055699231558,3.5621276
Dominican Republic,2025,4.249764162899987,4.1675715544692835,4.763516124158921,4.251933546427698,4.132582
Dominican Republic,2026,3.1435309356791796,3.1093527844359947,2.643027063795079,2.3811668810221427,2.523269
Ecuador,2024,4.945588017556177,4.529772148390332,3.680848341086579,2.749841891711225,3.1941216
Ecuador,2025,2.7617272081339106,2.624940828555511,1.618383133381458,2.037956789722486,2.878382
Ecuador,2026,3.161891506751979,3.1119915976362096,2.5311508358885195,2.705642012378751,2.7211652
"Egypt, Arab Republic of",2024,4.428054463789758,4.32679910461848,4.02186377551538,3.7704004077255338,2.7343526
"Egypt, Arab Republic of",2025,4.546023358033306,4.411981411724426,3.221208962494618,2.5740791554540117,2.91271
"Egypt, Arab Republic of",2026,4.490687747208684,4.488594651768483,4.36972430443015,4.393357571426926,4.680904
El Salvador,2024,5.874941110367548,5.319556681430628,4.613598088716225,4.099907153679461,5.0880756
El Salvador,2025,3.4554917460791246,3.415419355696358,3.686200561780058,2.8419969422144593,3.2892897
El Salvador,2026,4.1495513264558515,3.9784861835235916,3.971549763351767,3.595939866325893,4.3686805
"Equatorial Guinea, Republic of",2024,1.6978654937984872,1.597554614512557,3.2544635838641263,5.304071414202584,4.3002715
"Equatorial Guinea, Republic of",2025,1.5547390964694157,1.9271647614653555,2.054966245565764,2.8533002188266394,0.97338766
"Equatorial Guinea, Republic of",2026,-0.6433190485265565,-0.3531284175283633,0.38088538637314606,-0.07205101328248839,-2.5096653
"Estonia, Republic of",2024,3.1526669140812604,2.969495859876248,3.141567247575966,2.2838660580382593,2.9219956
"Estonia, Republic of",2025,1.7192414768916366,1.832352366400975,1.5957106934809562,1.3959409811293149,0.96228075
"Estonia, Republic of",2026,1.1687339299545445,1.4355525447797834,1.052751822828652,1.8887847267563207,1.3955086
"Eswatini, Kingdom of",2024,2.9391885337653765,3.0249371397173035,3.4919270740859143,3.5731024128408317,3.850701
"Eswatini, Kingdom of",2025,1.8433083583171581,2.229787967079439,3.2159141724802747,2.8293384812710487,3.001526
"Eswatini, Kingdom of",2026,2.9050916355438643,3.017096087566407,3.5850285619361957,3.536499690316394,3.448307
"Ethiopia, The Federal Democratic Republic of",2024,5.7922363961068415,5.628888369297109,6.569560873655583,6.100728087418591,5.070205
"Ethiopia, The Federal Democratic Republic of",2025,6.511812263734659,6.2217906027740995,7.122305191845595,6.54080673667878,6.1060586
"Ethiopia, The Federal Democratic Republic of",2026,5.58157137459978,5.482145837973736,8.38687302613516,8.193456066050802,7.4220767
Finland,2024,1.9392462294726007,1.990706939016473,1.2295378546695308,1.4224014331140606,1.8996159
Finland,2025,1.9087420398342223,2.1044869530995216,1.693128114929436,1.436228015802487,1.629767
Finland,2026,1.5311349548096564,1.6732335122125441,0.642465083806246,1.3707850081793707,0.7585894
France,2024,3.6785726817746895,3.5151498813132203,2.520336561282056,2.4393893939697766,2.3913324
France,2025,2.5996329787993386,2.5728524919442988,1.9521518005463512,1.5683025027579842,1.3941412
France,2026,2.188374412713847,2.2641387150551893,2.043613143486912,1.5106624581739603,1.2873393
Gabon,2024,1.9891494758687722,2.1699977339974903,2.720953097726971,2.524291809290956,2.9802713
Gabon,2025,3.443324125550485,3.430339889780476,3.4270323081527434,3.337693497237419,3.2798948
Gabon,2026,2.387852252490332,2.477940271455247,3.1188802473204302,2.7915557988021957,3.160728
"Gambia, The",2024,3.218089130510842,3.8957651016992405,5.396910076067711,5.0237710892044785,8.240274
"Gambia, The",2025,4.97274092810026,4.866439283517089,5.043424569678846,4.8558287915752185,5.4373507
"Gambia, The",2026,5.560548577927714,5.407664529049287,5.097948618005423,3.968142790372711,5.837205
Georgia,2024,7.290134163227769,6.877246551974492,8.283249865169998,6.936650714545994,7.035431
Georgia,2025,7.765722531611605,7.183086981097821,8.907585150766398,7.628224803673749,7.7631354
Georgia,2026,6.291779691943233,5.881361814039153,7.366022754261998,6.4826615227461915,5.9258485
Germany,2024,2.615138670936001,2.586643340723031,1.2777404605421796,1.9251914120277138,1.7784863
Germany,2025,1.749988083787326,1.8876480617906997,1.5823986032211739,1.83549080248359,1.2864954
Germany,2026,0.8677558004989101,1.1910251559855785,1.0645556670567808,1.7998012544156226,1.218977
Ghana,2024,5.2375766798361845,5.035171874845721,4.427914907999963,3.160600064266492,4.8770623
Ghana,2025,4.8449727943703484,4.720945947496062,5.5749364678265705,4.81815966328013,5.215063
Ghana,2026,5.84820200849032,5.687049943116419,6.291884708429793,5.060517048019039,6.0346937
Greece,2024,6.328360591433638,5.756323807631408,4.6663858535998735,2.8809701567863963,4.595697
Greece,2025,4.0889174732352025,3.9227592134934226,3.299519745139828,2.5800109460561256,3.838733
