COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag,Crisis_Flag,Stability_Category,GDP_Growth,Instability_Index,Prediction_Correct
Cabo Verde,2026,0.4571617991375588,Moderate,0,0,Unstable,4.787,46.13263518138228,1
Kuwait,2026,0.4541741682080718,Moderate,0,0,Unstable,-0.561,42.077363940175374,1
Kyrgyz Republic,2026,0.4457725045615683,Moderate,0,0,Unstable,6.075,43.85612111531641,1
"Lesotho, Kingdom of",2026,0.4281370117089417,Moderate,0,0,Moderate,1.111,26.884496317441904,1
Burkina Faso,2026,0.412709795179434,Moderate,0,0,Moderate,4.858,32.06110793421241,1
Bhutan,2026,0.4034455475002443,Moderate,0,0,Unstable,7.478,34.10221942371708,1
"Azerbaijan, Republic of",2026,0.393235911735685,Moderate,0,0,Unstable,2.217,34.92630534800569,1
"Equatorial Guinea, Republic of",2026,0.3574343808432253,Moderate,0,0,Moderate,-2.686,26.32273516512901,1
Guinea,2026,0.3404576526997665,Moderate,0,0,Unstable,8.677,37.92820812471491,1
Guyana,2026,0.3360729543929038,Moderate,0,0,Unstable,16.168,39.359220819706366,1
St. Vincent and the Grenadines,2026,0.3317345290614285,Moderate,0,0,Moderate,3.0,29.64690418421991,1
Trinidad and Tobago,2026,0.3309951583555162,Moderate,0,0,Moderate,0.766,26.76917465295325,1
"Ethiopia, The Federal Democratic Republic of",2026,0.3271511738928606,Moderate,0,0,Moderate,9.204,24.782987502165973,1
Norway,2026,0.3255036550040824,Moderate,0,0,Moderate,1.475,29.86443562674681,1
Gabon,2026,0.3250322348064705,Moderate,0,0,Unstable,2.665,36.63795430364859,1
"Mozambique, Republic of",2026,0.2984068529655732,Low,0,0,Unstable,0.519,34.50776520306766,1
Nigeria,2026,0.296071966589653,Low,0,0,Unstable,4.058,40.88310959252711,1
"Moldova, Republic of",2026,0.2914149755056525,Low,0,0,Moderate,1.9,19.31399584453715,1
Bolivia,2026,0.2833586792598291,Low,0,0,Unstable,-3.285,43.17508536247763,1
Dominica,2026,0.2808223672994163,Low,0,0,Unstable,3.137,36.19558276270313,1
Mongolia,2026,0.2716646990266737,Low,0,0,Moderate,5.261,18.605434640082123,1
Liberia,2026,0.2590590312859757,Low,0,0,Moderate,5.111,30.574117648964805,1
"Tajikistan, Republic of",2026,0.2436690934992826,Low,0,0,Moderate,6.0,27.709372131381876,1
Myanmar,2026,0.241271619879458,Low,0,0,Moderate,2.995,28.300249118085333,1
"Egypt, Arab Republic of",2026,0.2354554128718049,Low,0,0,Unstable,4.24,36.67477084760056,1
Pakistan,2026,0.2302692236640988,Low,0,0,Moderate,3.603,32.27968280076072,1
Saudi Arabia,2026,0.2011057279742258,Low,0,0,Moderate,3.115,20.27073107811796,1
Solomon Islands,2026,0.1975852299637628,Low,0,0,Stable,2.785,15.887293006632316,1
"Bahrain, Kingdom of",2026,0.1964683392147825,Low,0,0,Unstable,-0.499,39.48968023076237,1
Malawi,2026,0.1796002491493954,Low,0,0,Moderate,2.227,30.26147964733208,1
Greece,2026,0.1573012521129358,Low,0,0,Moderate,1.802,31.48229080886744,1
"Poland, Republic of",2026,0.1562150715770791,Low,0,0,Unstable,3.324,33.70248111493634,1
Nicaragua,2026,0.1557293804428424,Low,0,0,Moderate,3.84,21.985247934336744,1
Taiwan Province of China,2026,0.1526388772591275,Low,0,0,Unstable,5.181,37.040537909888805,1
"Gambia, The",2026,0.148318607683403,Low,0,0,Moderate,5.112,27.05508591792966,1
Nepal,2026,0.1464918786303206,Low,0,0,Moderate,2.956,25.28038040826933,1
Zambia,2026,0.145481371054431,Low,0,0,Moderate,4.287,26.787766903545844,1
"Congo, Republic of",2026,0.1368516836895924,Low,0,0,Stable,2.837,15.740134133262051,1
"Türkiye, Republic of",2026,0.1357935633288762,Low,0,0,Moderate,3.366,19.321441047174854,1
Sierra Leone,2026,0.124067433342494,Low,0,0,Stable,4.55,17.087242145319962,1
"Lithuania, Republic of",2026,0.1216587598665899,Low,0,0,Moderate,2.912,28.12550994626925,1
Djibouti,2026,0.118766213861519,Low,0,0,Moderate,6.0,18.25715573427705,1
Qatar,2026,0.1162538645982167,Low,0,0,Moderate,-8.646,32.12691038982497,1
"Eswatini, Kingdom of",2026,0.1152739220852191,Low,0,0,Moderate,4.037,22.545516581401724,1
Hungary,2026,0.1142558860730571,Low,0,0,Moderate,1.662,18.262405010286567,1
Japan,2026,0.1131973109922651,Low,0,0,Moderate,0.719,32.45374094778656,1
Slovak Republic,2026,0.1065533746013784,Low,0,0,Moderate,0.601,19.649974413169677,1
Papua New Guinea,2026,0.1054943590725106,Low,0,0,Moderate,3.753,21.360363144652258,1
Brunei Darussalam,2026,0.0996246166957618,Low,0,0,Moderate,2.6,25.72037547736585,1
Jamaica,2026,0.0994155380414468,Low,0,0,Stable,-1.152,16.241710695789887,1
"Latvia, Republic of",2026,0.094535602816034,Low,0,0,Stable,2.218,16.765015682388707,1
Cyprus,2026,0.0945004364797368,Low,0,0,Moderate,2.953,24.04079354891304,1
Czech Republic,2026,0.0928893522583062,Low,0,0,Moderate,2.234,19.35172831581611,1
Oman,2026,0.0911044726143288,Low,0,0,Unstable,3.452,34.45690336021901,1
Colombia,2026,0.0898618889362267,Low,0,0,Moderate,2.342,17.940481219062935,1
Central African Republic,2026,0.0885435375691812,Low,0,0,Stable,2.613,16.097120397222362,1
Côte d'Ivoire,2026,0.0885269275314911,Low,0,0,Stable,6.2,14.056164839403596,1
"North Macedonia, Republic of",2026,0.0884083830412086,Low,0,0,Moderate,3.1,21.55230649977835,1
Rwanda,2026,0.0880639968874053,Low,0,0,Stable,7.233,13.534759393545938,1
Bulgaria,2026,0.0860412562725865,Low,0,0,Stable,2.773,9.704353935809396,1
Honduras,2026,0.0858824578802484,Low,0,0,Moderate,3.3,18.922599079066632,1
Chad,2026,0.0822714800334063,Low,0,0,Stable,5.23,16.92132657993987,1
"Congo, Democratic Republic of the",2026,0.0810879997959461,Low,0,0,Moderate,5.901,20.901255273474597,1
"China, People's Republic of",2026,0.0790634303040324,Low,0,0,Moderate,4.413,23.009193486287284,1
"Belarus, Republic of",2026,0.0784920274622971,Low,0,0,Stable,1.22,10.958418950355917,1
Italy,2026,0.0778079590217626,Low,0,0,Moderate,0.521,24.746619838438463,1
Ecuador,2026,0.0744771038704391,Low,0,0,Moderate,2.51,19.43239595826596,1
Finland,2026,0.0723760403277252,Low,0,0,Moderate,1.047,22.82799671399511,1
Togo,2026,0.0696072544517868,Low,0,0,Unstable,5.0,33.9173988159099,1
St. Lucia,2026,0.0671338827085182,Low,0,0,Stable,1.963,15.80073402457394,1
Mauritius,2026,0.0670199412377011,Low,0,0,Stable,3.4,13.02778834124429,1
Malta,2026,0.0658618089576204,Low,0,0,Stable,3.7,14.497139284180282,1
Turkmenistan,2026,0.0645033923386694,Low,0,0,Stable,2.6,8.379492936433442,1
"Serbia, Republic of",2026,0.063887653764475,Low,0,0,Stable,2.835,10.173626553183492,1
Iceland,2026,0.0625053234690479,Low,0,0,Stable,1.902,16.976446345162202,1
"Bahamas, The",2026,0.0622042832171634,Low,0,0,Stable,2.1,15.048878893653232,1
Barbados,2026,0.061479544111621,Low,0,0,Stable,2.465,16.631461689534518,1
"Armenia, Republic of",2026,0.0592344201733226,Low,0,0,Stable,5.3,9.122271483649714,1
Romania,2026,0.0585335152132627,Low,0,0,Stable,0.694,15.527944928618266,1
Guinea-Bissau,2026,0.0582142053661868,Low,0,0,Stable,4.9,14.580913692503875,1
"Kazakhstan, Republic of",2026,0.0559108245215119,Low,0,0,Moderate,4.609,17.877667377247157,1
Israel,2026,0.0508373612989111,Low,0,0,Stable,3.53,8.326735246700313,1
"Estonia, Republic of",2026,0.0492060285536455,Low,0,0,Moderate,1.429,23.772183915185952,1
Portugal,2026,0.0474544961792562,Low,0,0,Moderate,1.93,25.23047893747265,1
Paraguay,2026,0.0467506990645838,Low,0,0,Stable,4.2,10.94722318303835,1
Russian Federation,2026,0.0467388706610742,Low,0,0,Stable,1.091,8.220050060096382,1
"Slovenia, Republic of",2026,0.0440630821470427,Low,0,0,Stable,2.0,13.44870407104139,1
Panama,2026,0.0440602403266964,Low,0,0,Stable,3.84,15.738797088224564,1
"Mauritania, Islamic Republic of",2026,0.0432694331325188,Low,0,0,Stable,4.417,14.7990461192743,1
Singapore,2026,0.0421752080085668,Low,0,0,Stable,3.507,14.23573925508367,1
Mali,2026,0.0419364785815281,Low,0,0,Stable,5.5,15.752512363922753,1
Brazil,2026,0.0393669938830691,Low,0,0,Stable,1.911,11.874273291398948,1
Peru,2026,0.0376630483100568,Low,0,0,Stable,2.82,12.270596032266893,1
El Salvador,2026,0.0374921005481026,Low,0,0,Moderate,3.3,25.574473689421456,1
Morocco,2026,0.0374550806608785,Low,0,0,Stable,4.872,14.2210230745435,1
Uganda,2026,0.0368548546939804,Low,0,0,Stable,7.508,13.526727845945794,1
Austria,2026,0.0366873765711493,Low,0,0,Stable,0.682,15.74189443495729,1
"Croatia, Republic of",2026,0.0359553095848274,Low,0,0,Stable,2.638,14.41101395268078,1
Chile,2026,0.0351421868480435,Low,0,0,Stable,2.396,9.395444177327631,1
Cambodia,2026,0.0349911195372581,Low,0,0,Stable,4.022,10.255696466688391,1
Tunisia,2026,0.0345978984943277,Low,0,0,Moderate,2.113,22.838614691580457,1
"Hong Kong Special Administrative Region, People's Republic of China",2026,0.032730409870558,Low,0,0,Stable,2.42,12.742914283253691,1
United Kingdom,2026,0.0318060006532049,Low,0,0,Moderate,0.797,18.42692743801593,1
Mexico,2026,0.0294440487028206,Low,0,0,Stable,1.639,17.07826337989652,1
Belize,2026,0.0289978870543974,Low,0,0,Stable,2.192,11.89071378289219,1
"Comoros, Union of the",2026,0.0286453610810888,Low,0,0,Stable,4.083,12.321834840713857,1
Bosnia and Herzegovina,2026,0.0280931214020734,Low,0,0,Stable,2.2,14.990241718736533,1
Namibia,2026,0.027177800842218,Low,0,0,Stable,2.396,11.698712664933858,1
France,2026,0.0270397342574201,Low,0,0,Stable,0.858,14.800625737082967,1
Vietnam,2026,0.0258557468365753,Low,0,0,Stable,7.1,10.096963993201284,1
United Arab Emirates,2026,0.0247133583423969,Low,0,0,Stable,3.143,17.026162151443945,1
Georgia,2026,0.0240433029772242,Low,0,0,Stable,5.306,9.256170183074646,1
"Korea, Republic of",2026,0.0232302110312262,Low,0,0,Stable,1.862,14.45717463068852,1
New Zealand,2026,0.0231355868416621,Low,0,0,Stable,2.131,16.78498270583119,1
Canada,2026,0.0229061496932911,Low,0,0,Moderate,1.5,18.36540916421719,1
Kenya,2026,0.0212720541926437,Low,0,0,Stable,4.474,11.162265073062716,1
Denmark,2026,0.0210147090631709,Low,0,0,Stable,2.0,17.219490610849263,1
Spain,2026,0.0208730662026293,Low,0,0,Moderate,2.09,19.178818150385275,1
Albania,2026,0.0208412418374521,Low,0,0,Stable,3.409,12.849372642899098,1
"Netherlands, The",2026,0.0200489322590868,Low,0,0,Stable,1.233,12.540863697918244,1
"Uzbekistan, Republic of",2026,0.0195840073575286,Low,0,0,Stable,6.474,8.449113583841843,1
Germany,2026,0.0193331570015187,Low,0,0,Stable,0.791,8.723031627859998,1
"Madagascar, Republic of",2026,0.0189853588330694,Low,0,0,Stable,3.636,6.324407007615931,1
Guatemala,2026,0.0182016856890592,Low,0,0,Stable,3.94,14.873722213519043,1
Costa Rica,2026,0.0180864977711172,Low,0,0,Stable,3.56,13.892216150298282,1
Philippines,2026,0.0172207441597975,Low,0,0,Stable,4.066,10.629253326662004,1
Luxembourg,2026,0.0165362086163466,Low,0,0,Stable,1.592,7.836977216954034,1
Bangladesh,2026,0.0161147924544499,Low,0,0,Stable,4.693,11.273470963472148,1
Cameroon,2026,0.0159170051724069,Low,0,0,Stable,3.344,9.156352745441506,1
Seychelles,2026,0.0157817096653609,Low,0,0,Stable,1.521,11.818909281239948,1
United States,2026,0.0156371959349286,Low,0,0,Stable,2.324,13.686426084762228,1
Sweden,2026,0.0155653617042039,Low,0,0,Stable,1.963,3.942869976337896,1
Thailand,2026,0.0148583185046314,Low,0,0,Stable,1.5,8.215809214425265,1
Benin,2026,0.0143228735001381,Low,0,0,Stable,6.972,13.984256809412887,1
India,2026,0.0141773930544444,Low,0,0,Stable,6.478,11.81409909039616,1
Dominican Republic,2026,0.0139995565754231,Low,0,0,Stable,3.72,8.668080188609125,1
"Kosovo, Republic of",2026,0.0137530157480438,Low,0,0,Stable,3.3,11.293409316118714,1
Belgium,2026,0.0137229815799421,Low,0,0,Stable,0.661,11.117977080423715,1
Switzerland,2026,0.0132241791882401,Low,0,0,Stable,1.342,2.028194041159603,1
Uruguay,2026,0.0131919391425598,Low,0,0,Stable,1.8,8.6945119734623,1
Malaysia,2026,0.0130359010118761,Low,0,0,Stable,4.7,6.843213042381113,1
South Africa,2026,0.0129254824991862,Low,0,0,Stable,1.049,11.25423837145213,1
Indonesia,2026,0.0125072325498004,Low,0,0,Stable,4.95,0.9869390442314064,1
"Tanzania, United Republic of",2026,0.0123649138888058,Low,0,0,Stable,5.94,10.921391007476052,1
Jordan,2026,0.0116772162284141,Low,0,0,Stable,2.748,3.826651861056798,1
Australia,2026,0.0113874315765598,Low,0,0,Moderate,2.009,19.425494057245476,1
