COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag
Cameroon,2029,0.1294581352589803,Low,0
Cameroon,2030,0.1294581352589803,Low,0
Cameroon,2028,0.1299386565110622,Low,0
Cameroon,2027,0.1299386565110622,Low,0
Iceland,2027,0.1304900290092542,Low,0
Iceland,2030,0.1309599467318366,Low,0
Iceland,2029,0.1322061733266883,Low,0
Iceland,2028,0.1322061733266883,Low,0
Tunisia,2028,0.1349364910707886,Low,0
Tunisia,2029,0.1349364910707886,Low,0
Tunisia,2027,0.13502950871887,Low,0
Tunisia,2030,0.1351791677810537,Low,0
Seychelles,2028,0.1355481348391964,Low,0
Chile,2027,0.1376515431572814,Low,0
Chile,2028,0.1388372667070325,Low,0
Seychelles,2027,0.1391062112272088,Low,0
Chile,2029,0.1391860931295955,Low,0
Chile,2030,0.1391860931295955,Low,0
Seychelles,2029,0.1393268298352164,Low,0
Seychelles,2030,0.1393268298352164,Low,0
