Layer,Best_Model,RMSE,MAE,R2,ML_Improvement_%
Layer 2a Econometric,Pooled OLS,4.816,2.755,0.206,
Layer 2b ML,Random Forest (Base + all volatility + country history),4.709,2.631,0.241,2.22
