COUNTRY,YEAR,Crisis_Probability,Risk_Level,Early_Warning_Flag
Suriname,2028,0.6634775795650036,High,1
Suriname,2030,0.6630420516010358,High,1
Suriname,2029,0.6630420516010358,High,1
Guyana,2028,0.6605411859685257,High,1
Guyana,2027,0.6601384748751988,High,1
Suriname,2027,0.6595759594710545,High,1
Algeria,2027,0.6350768246019798,High,1
Algeria,2030,0.6346855757131709,High,1
Algeria,2029,0.6346855757131709,High,1
Algeria,2028,0.6345878567029679,High,1
Singapore,2027,0.6249315685689995,High,1
Central African Republic,2027,0.6245654101121106,High,1
Singapore,2029,0.624073265517277,High,1
Singapore,2030,0.624073265517277,High,1
Singapore,2028,0.624073265517277,High,1
Central African Republic,2028,0.6240216065133269,High,1
Central African Republic,2029,0.6225149782861371,High,1
Central African Republic,2030,0.6219832887146269,High,1
Kuwait,2030,0.6194632168029951,High,1
Kuwait,2029,0.6193614667300236,High,1
