"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","MLT.GGXWDG_NGDP.A","OBS_VALUE","Malta","Gross debt, General government, Percent of GDP","Annual","Units","45.303","51.462","60.795","66.362","69.768","64.417","70.046","65.051","68.626","70.390","70.151","64.545","62.037","61.526","66.045","65.033","68.938","65.611","64.945","60.745","55.048","53.149","45.558","41.443","39.249","48.611","49.562","50.125","46.818"
"IMF.RES:WEO(9.0.0)","PRT.BCA_NGDPD.A","OBS_VALUE","Portugal","Current account balance (credit less debit), Percent of GDP","Annual","Units","-0.112","-4.490","-6.109","-7.548","-8.868","-10.796","-10.449","-8.383","-6.634","-7.957","-9.585","-10.260","-9.620","-11.838","-10.356","-10.257","-6.103","-1.489","1.534","0.343","0.505","1.421","1.484","0.752","0.780","-0.689","-0.663","-2.024","0.550"
"IMF.RES:WEO(9.0.0)","ESP.GGXWDG_NGDP.A","OBS_VALUE","Spain","Gross debt, General government, Percent of GDP","Annual","Units","61.586","65.442","64.286","62.355","60.853","57.841","54.052","51.237","47.687","45.333","42.395","39.019","35.698","39.609","53.079","60.266","69.528","89.560","100.000","104.418","102.442","101.967","101.144","99.718","97.579","119.179","115.594","109.226","105.074"
"IMF.RES:WEO(9.0.0)","MLT.NGSD_NGDP.A","OBS_VALUE","Malta","Gross national savings, Percent of GDP","Annual","Units","31.632","25.314","29.928","27.300","31.638","15.252","17.421","19.841","20.133","19.126","18.732","14.991","19.563","21.197","14.811","17.385","17.310","20.904","19.604","24.222","26.094","21.388","38.089","32.995","38.867","36.131","32.438","25.611","26.127"
"IMF.RES:WEO(9.0.0)","IRL.TM_RPCH.A","OBS_VALUE","Ireland","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","15.930","12.842","16.645","27.774","12.617","21.686","13.101","5.338","-2.417","1.904","12.723","9.302","9.351","-2.786","-1.702","0.569","2.641","-1.014","8.552","14.386","32.698","17.490","4.211","-2.038","40.367","0.189","-9.215","14.970","2.229"
"IMF.RES:WEO(9.0.0)","MLT.GGXCNL_NGDP.A","OBS_VALUE","Malta","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","-5.828","-6.503","-5.618","-9.042","-4.279","-2.828","-2.461","-2.053","-4.055","-3.114","-2.221","-2.986","-3.305","-2.186","-1.485","-0.838","1.095","3.404","1.858","0.722","-8.721","-6.953","-5.310","-4.646"
"IMF.RES:WEO(9.0.0)","PRT.LUR.A","OBS_VALUE","Portugal","Unemployment rate","Annual","Units","7.917","8.015","7.510","5.720","5.169","4.717","4.801","5.779","7.038","7.392","8.343","8.408","8.722","8.315","10.177","11.506","13.585","16.636","17.216","14.546","12.862","11.268","9.242","7.175","6.633","7.100","6.725","6.192","6.583"
"IMF.RES:WEO(9.0.0)","ESP.LUR.A","OBS_VALUE","Spain","Unemployment rate","Annual","Units","22.900","22.080","20.610","18.605","15.640","13.857","10.540","11.450","11.485","10.965","9.153","8.453","8.233","11.245","17.855","19.858","21.390","24.788","26.095","24.443","22.058","19.635","17.225","15.255","14.105","15.533","14.920","13.035","12.185"
"IMF.RES:WEO(9.0.0)","MLT.TM_RPCH.A","OBS_VALUE","Malta","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","10.032","-5.921","-1.684","2.511","10.125","10.431","-9.157","1.242","4.555","-1.176","5.986","18.433","8.130","19.529","-12.942","14.982","6.618","8.123","-2.543","2.122","32.041","6.711","9.164","16.389","10.556","3.415","3.386","18.987","-2.175"
"IMF.RES:WEO(9.0.0)","MLT.NID_NGDP.A","OBS_VALUE","Malta","Gross capital formation, Percent of GDP","Annual","Units","33.241","29.870","26.763","24.472","24.958","27.325","21.057","17.511","23.001","23.580","26.795","20.910","22.521","22.231","21.234","21.864","17.505","19.273","17.098","15.907","23.455","21.940","19.159","19.653","20.969","20.117","23.068","26.377","19.839"
"IMF.RES:WEO(9.0.0)","PRT.GGX_NGDP.A","OBS_VALUE","Portugal","Expenditure, General government, Percent of GDP","Annual","Units","42.593","43.044","42.407","42.628","42.532","42.836","44.121","44.187","45.385","46.058","46.756","45.148","44.546","45.486","50.257","51.887","50.028","48.834","49.957","51.659","48.216","44.866","45.485","43.281","42.481","49.123","47.343","43.874","42.311"
"IMF.RES:WEO(9.0.0)","MLT.BCA_NGDPD.A","OBS_VALUE","Malta","Current account balance (credit less debit), Percent of GDP","Annual","Units","-4.889","-5.294","-2.758","-2.685","-1.518","-5.182","-1.562","0.999","-1.231","-5.434","-8.176","-9.363","-3.856","-1.034","-6.423","-4.479","-0.195","1.631","2.505","8.315","2.639","-0.551","18.929","13.341","17.898","16.015","9.370","-0.767","6.289"
"IMF.RES:WEO(9.0.0)","MLT.NGDP_RPCH.A","OBS_VALUE","Malta","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","","","","","","","-0.758","2.741","3.696","0.405","2.883","2.336","5.035","4.410","-1.395","6.198","0.993","4.102","6.292","7.631","9.621","4.078","12.972","7.188","4.085","-3.457","13.411","2.483","10.622"
"IMF.RES:WEO(9.0.0)","MLT.GGR_NGDP.A","OBS_VALUE","Malta","Revenue, General government, Percent of GDP","Annual","Units","","","","","","37.090","37.905","37.989","36.527","37.676","39.715","40.023","39.111","38.070","38.035","37.844","38.508","38.382","37.893","38.087","37.008","36.552","36.110","36.336","35.604","33.360","32.478","33.013","31.409"
"IMF.RES:WEO(9.0.0)","ESP.GGR_NGDP.A","OBS_VALUE","Spain","Revenue, General government, Percent of GDP","Annual","Units","37.338","37.006","37.635","38.351","38.719","37.962","37.960","38.311","37.980","38.694","39.680","40.513","41.065","36.775","34.835","36.357","36.247","37.742","38.671","38.983","38.418","37.874","37.951","38.947","38.967","41.407","42.834","41.726","41.948"
"IMF.RES:WEO(9.0.0)","AUS.GGXWDG_NGDP.A","OBS_VALUE","Australia","Gross debt, General government, Percent of GDP","Annual","Units","31.143","29.345","25.907","23.698","22.544","19.495","17.106","15.010","13.186","11.907","10.858","9.938","9.665","11.742","16.622","20.350","24.041","27.521","30.467","34.036","37.726","40.621","41.196","41.758","46.720","57.077","55.516","50.213","49.582"
"IMF.RES:WEO(9.0.0)","TUR.NGDP_RPCH.A","OBS_VALUE","Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.190","7.007","7.528","3.092","-3.053","6.985","-5.459","6.436","5.799","9.925","9.112","7.068","5.108","0.920","-4.883","8.542","10.980","4.808","8.488","4.601","5.806","3.324","7.826","3.468","1.302","1.803","11.811","5.441","5.045"
"IMF.RES:WEO(9.0.0)","NZL.GGR_NGDP.A","OBS_VALUE","New Zealand","Revenue, General government, Percent of GDP","Annual","Units","45.321","42.462","40.582","39.666","38.153","38.480","38.533","39.325","40.369","40.654","42.246","42.472","40.682","39.976","38.534","37.416","37.404","37.518","37.315","37.320","37.561","37.393","36.943","37.349","36.295","37.666","38.377","37.646","37.677"
"IMF.RES:WEO(9.0.0)","TUR.GGXWDG_NGDP.A","OBS_VALUE","Türkiye, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","51.234","75.344","71.349","64.995","56.978","49.999","44.021","37.543","37.506","42.908","39.229","35.682","32.053","30.752","28.175","27.127","27.710","27.620","29.504","31.770","38.731","39.419","30.171","28.673"
"IMF.RES:WEO(9.0.0)","AUS.GGR_NGDP.A","OBS_VALUE","Australia","Revenue, General government, Percent of GDP","Annual","Units","31.075","32.088","32.324","34.396","36.885","36.464","35.588","35.107","35.959","36.160","36.283","36.309","35.779","33.978","33.191","31.835","31.783","33.002","33.555","33.830","34.476","34.869","35.059","35.615","34.504","35.711","35.403","35.348","36.293"
"IMF.RES:WEO(9.0.0)","AUS.GGX_NGDP.A","OBS_VALUE","Australia","Expenditure, General government, Percent of GDP","Annual","Units","33.678","33.544","32.817","34.642","36.219","35.213","35.618","34.914","34.908","34.836","34.576","34.537","34.304","35.079","37.754","36.950","36.309","36.511","36.365","36.748","37.263","37.293","36.777","36.874","38.914","44.441","41.771","37.561","37.561"
"IMF.RES:WEO(9.0.0)","NZL.LUR.A","OBS_VALUE","New Zealand","Unemployment rate","Annual","Units","6.450","6.325","6.875","7.725","7.050","6.150","5.475","5.300","4.750","4.025","3.800","3.875","3.625","4.025","5.900","6.200","6.050","6.450","5.825","5.425","5.425","5.175","4.750","4.325","4.125","4.600","3.775","3.325","3.775"
"IMF.RES:WEO(9.0.0)","TUR.NID_NGDP.A","OBS_VALUE","Türkiye, Republic of","Gross capital formation, Percent of GDP","Annual","Units","22.812","21.322","21.662","25.300","21.505","24.011","19.614","21.526","22.857","25.168","27.567","30.158","29.549","29.726","23.695","28.452","31.958","29.422","31.365","30.212","30.063","29.829","32.795","31.341","27.506","34.154","34.376","38.602","34.588"
"IMF.RES:WEO(9.0.0)","TUR.GGR_NGDP.A","OBS_VALUE","Türkiye, Republic of","Revenue, General government, Percent of GDP","Annual","Units","","","","","","31.054","32.298","29.609","30.778","30.342","31.240","33.188","31.338","31.349","31.824","32.231","32.250","32.173","32.343","31.538","31.911","32.080","30.559","30.789","30.145","29.410","27.560","25.676","27.303"
"IMF.RES:WEO(9.0.0)","TUR.TM_RPCH.A","OBS_VALUE","Türkiye, Republic of","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","27.868","28.046","24.372","0.861","-3.323","21.429","-24.162","21.176","24.092","20.357","11.975","7.619","9.648","-2.946","-14.502","20.109","13.478","0.288","11.415","-0.336","1.761","3.249","9.967","-5.454","-4.972","6.135","2.937","7.496","11.829"
"IMF.RES:WEO(9.0.0)","TUR.BCA_NGDPD.A","OBS_VALUE","Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.001","-0.973","-1.007","0.720","-0.364","-3.626","1.852","-0.262","-2.380","-3.477","-4.140","-5.616","-5.379","-5.004","-1.731","-5.698","-8.823","-4.736","-5.125","-3.404","-2.460","-2.547","-4.068","-1.809","1.937","-4.242","-0.752","-5.005","-3.596"
"IMF.RES:WEO(9.0.0)","AUS.TM_RPCH.A","OBS_VALUE","Australia","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","8.794","8.008","10.433","7.276","8.195","8.036","-4.653","10.879","11.005","15.547","9.362","8.719","13.033","10.897","-9.031","16.299","10.248","6.580","-2.247","-1.397","2.319","0.598","8.211","4.946","-1.118","-12.012","5.255","13.661","6.793"
"IMF.RES:WEO(9.0.0)","TUR.GGXCNL_NGDP.A","OBS_VALUE","Türkiye, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","-8.356","-11.643","-11.314","-7.553","-4.109","-0.746","-0.217","-1.368","-2.130","-5.142","-2.994","-0.352","-1.777","-1.206","-0.963","-0.512","-1.677","-1.867","-3.097","-4.690","-4.636","-2.976","-1.096","-5.216"
"IMF.RES:WEO(9.0.0)","AUS.NID_NGDP.A","OBS_VALUE","Australia","Gross capital formation, Percent of GDP","Annual","Units","25.193","24.783","24.756","26.290","26.295","24.947","23.457","25.218","26.750","27.215","27.832","27.086","28.195","28.335","26.932","26.309","26.842","28.449","27.087","26.447","25.915","24.739","24.371","24.296","22.699","22.478","23.492","23.932","23.983"
"IMF.RES:WEO(9.0.0)","ESP.TM_RPCH.A","OBS_VALUE","Spain","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","11.275","8.822","13.272","14.845","13.657","10.822","3.711","3.626","5.981","9.616","6.974","8.240","8.137","-5.454","-18.173","6.146","-0.598","-5.883","-0.396","6.827","5.093","2.671","6.690","3.944","1.411","-15.327","14.981","7.786","0.036"
"IMF.RES:WEO(9.0.0)","ESP.TX_RPCH.A","OBS_VALUE","Spain","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","8.310","10.318","14.990","8.018","7.479","10.244","4.009","1.303","3.420","4.224","1.880","4.719","7.573","-0.889","-10.782","8.992","8.199","0.946","4.224","4.520","4.355","5.400","5.607","1.665","2.292","-20.273","13.388","14.900","2.683"
"IMF.RES:WEO(9.0.0)","AUS.TX_RPCH.A","OBS_VALUE","Australia","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","5.423","10.511","11.925","0.155","4.642","11.738","3.027","0.836","-1.201","3.864","3.353","3.394","3.309","4.665","1.922","5.610","-0.262","5.722","5.832","6.971","6.194","6.838","3.374","5.164","3.118","-9.569","-2.262","2.583","6.887"
"IMF.RES:WEO(9.0.0)","ESP.NID_NGDP.A","OBS_VALUE","Spain","Gross capital formation, Percent of GDP","Annual","Units","21.968","21.721","22.125","23.515","25.268","26.672","26.482","26.706","27.529","28.303","29.404","30.584","30.459","28.479","23.352","22.399","20.714","18.594","17.412","18.148","19.373","19.061","19.566","20.706","20.909","20.627","21.874","22.690","21.121"
"IMF.RES:WEO(9.0.0)","ESP.NGSD_NGDP.A","OBS_VALUE","Spain","Gross national savings, Percent of GDP","Annual","Units","20.978","20.814","21.338","21.633","21.626","22.436","22.167","23.045","23.707","22.885","22.209","21.788","21.108","19.688","19.375","18.841","18.100","18.750","19.493","19.928","21.420","22.208","22.359","22.583","23.038","21.416","22.647","23.109","23.853"
"IMF.RES:WEO(9.0.0)","ZAF.GGX_NGDP.A","OBS_VALUE","South Africa","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","22.646","22.620","22.213","22.619","22.708","25.140","24.667","24.429","26.009","28.457","28.340","28.080","28.619","28.910","29.321","30.164","29.909","29.860","30.152","31.394","34.616","32.654","31.889","32.457"
"IMF.RES:WEO(9.0.0)","TUR.TX_RPCH.A","OBS_VALUE","Türkiye, Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","8.104","-2.761","32.646","10.687","-9.980","19.107","5.037","8.509","7.943","12.414","8.506","5.929","7.109","3.905","-3.156","2.321","13.375","15.024","4.720","7.029","5.056","-2.196","12.451","9.526","4.674","-16.413","25.085","10.498","-2.275"
"IMF.RES:WEO(9.0.0)","AUS.NGSD_NGDP.A","OBS_VALUE","Australia","Gross national savings, Percent of GDP","Annual","Units","20.589","21.425","21.759","21.535","20.557","21.209","21.139","21.466","21.464","21.008","21.703","21.150","21.253","24.011","22.157","23.039","23.828","23.775","23.805","23.227","21.585","20.762","21.806","21.696","22.841","24.287","25.929","24.516","23.685"
"IMF.RES:WEO(9.0.0)","TUR.GGX_NGDP.A","OBS_VALUE","Türkiye, Republic of","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","39.410","43.941","40.923","38.331","34.451","31.986","33.406","32.706","33.479","36.966","35.225","32.602","33.950","33.549","32.502","32.422","33.756","32.426","33.886","34.835","34.046","30.536","26.772","32.519"
"IMF.RES:WEO(9.0.0)","AUS.NGDP_RPCH.A","OBS_VALUE","Australia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.951","3.973","4.713","4.671","4.437","3.099","2.601","4.159","3.015","4.113","3.030","2.619","4.339","2.595","1.964","2.419","2.785","3.789","2.219","2.574","2.340","2.694","2.380","2.791","1.936","-1.953","5.418","4.132","2.066"
"IMF.RES:WEO(9.0.0)","NZL.GGXCNL_NGDP.A","OBS_VALUE","New Zealand","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","3.697","2.575","1.235","-0.479","-1.115","0.170","1.286","2.550","3.683","4.492","5.130","4.619","3.597","1.469","-1.812","-5.511","-4.960","-2.191","-1.287","-0.336","0.365","0.977","1.357","1.270","-2.496","-4.346","-3.500","-4.158","-3.538"
"IMF.RES:WEO(9.0.0)","ESP.PCPIPCH.A","OBS_VALUE","Spain","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","4.674","3.599","1.877","1.764","2.235","3.484","2.825","3.590","3.103","3.054","3.384","3.561","2.843","4.131","-0.239","2.043","3.050","2.436","1.530","-0.190","-0.629","-0.337","2.036","1.736","0.780","-0.337","3.008","8.323","3.400"
"IMF.RES:WEO(9.0.0)","AUS.LUR.A","OBS_VALUE","Australia","Unemployment rate","Annual","Units","8.483","8.525","8.367","7.692","6.867","6.292","6.775","6.358","5.942","5.392","5.033","4.792","4.375","4.258","5.575","5.208","5.083","5.233","5.658","6.058","6.067","5.717","5.600","5.283","5.175","6.475","5.117","3.708","3.700"
"IMF.RES:WEO(9.0.0)","TUR.LUR.A","OBS_VALUE","Türkiye, Republic of","Unemployment rate","Annual","Units","7.109","6.124","6.318","6.373","7.155","5.997","7.804","9.764","9.925","9.688","9.200","8.700","8.900","9.800","12.900","11.000","9.000","8.300","8.900","9.900","10.300","10.900","10.900","10.900","13.700","13.100","12.000","10.400","9.400"
"IMF.RES:WEO(9.0.0)","AUS.PCPIPCH.A","OBS_VALUE","Australia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","4.626","2.653","0.225","0.859","1.408","4.457","4.407","3.049","2.731","2.342","2.659","3.554","2.356","4.348","1.770","2.863","3.356","1.686","2.450","2.513","1.485","1.277","1.995","1.933","1.566","0.890","2.820","6.657","5.594"
"IMF.RES:WEO(9.0.0)","AUS.GGXCNL_NGDP.A","OBS_VALUE","Australia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.603","-1.456","-0.493","-0.246","0.666","1.250","-0.030","0.193","1.051","1.323","1.707","1.771","1.474","-1.101","-4.563","-5.116","-4.526","-3.509","-2.810","-2.918","-2.786","-2.424","-1.718","-1.259","-4.410","-8.730","-6.368","-2.213","-1.268"
"IMF.RES:WEO(9.0.0)","BOL.PCPIPCH.A","OBS_VALUE","Bolivia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","10.192","12.430","4.709","7.674","2.161","4.601","1.596","0.923","3.338","2.489","5.400","4.300","8.682","14.009","3.345","2.502","9.884","4.517","5.737","5.765","4.061","3.625","2.822","2.272","1.839","0.942","0.736","1.747","2.577"
"IMF.RES:WEO(9.0.0)","ARG.GGR_NGDP.A","OBS_VALUE","Argentina","Revenue, General government, Percent of GDP","Annual","Units","20.788","19.876","20.748","21.303","21.766","21.830","21.068","19.943","23.526","26.996","27.766","28.267","30.308","31.114","32.694","31.965","32.156","33.803","34.349","34.601","35.366","34.867","34.428","33.508","33.684","33.805","33.550","33.807","32.308"
"IMF.RES:WEO(9.0.0)","ARG.GGX_NGDP.A","OBS_VALUE","Argentina","Expenditure, General government, Percent of GDP","Annual","Units","22.862","22.687","22.586","23.130","25.471","25.247","26.432","21.853","22.026","23.030","24.426","26.617","29.551","30.762","34.524","33.358","34.902","36.821","37.603","38.853","41.366","41.522","41.121","38.949","38.129","42.479","37.883","37.643","37.637"
"IMF.RES:WEO(9.0.0)","ARG.TX_RPCH.A","OBS_VALUE","Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","25.559","6.395","15.099","12.717","-2.125","1.898","6.096","0.244","5.006","-0.150","11.583","4.473","5.935","-0.739","-10.680","13.473","2.368","-5.610","-3.788","-7.849","-1.699","6.916","-0.271","-0.413","12.103","-12.719","12.553","-4.869","-13.571"
"IMF.RES:WEO(9.0.0)","BOL.BCA_NGDPD.A","OBS_VALUE","Bolivia","Current account balance (credit less debit), Percent of GDP","Annual","Units","-5.002","-4.504","-6.984","-7.856","-5.907","-5.325","-3.359","-4.420","1.042","3.694","6.502","11.436","12.040","11.867","4.658","4.416","2.226","7.221","3.413","1.716","-5.825","-5.579","-5.024","-4.251","-3.316","-0.043","3.910","2.604","-2.518"
"IMF.RES:WEO(9.0.0)","ZAF.PCPIPCH.A","OBS_VALUE","South Africa","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","8.761","7.429","8.586","6.977","5.050","5.317","5.744","9.091","5.896","1.386","3.393","4.651","7.128","10.865","7.198","4.235","4.980","5.651","5.747","6.116","4.589","6.320","5.294","4.596","4.115","3.288","4.553","6.864","5.903"
"IMF.RES:WEO(9.0.0)","ZAF.GGXCNL_NGDP.A","OBS_VALUE","South Africa","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","-1.383","-1.015","-0.958","-1.588","-1.044","-0.102","0.813","1.215","-0.488","-4.667","-4.514","-3.704","-4.039","-3.904","-3.926","-4.374","-3.725","-4.016","-3.732","-5.072","-9.621","-5.540","-4.250","-5.545"
"IMF.RES:WEO(9.0.0)","ZAF.TM_RPCH.A","OBS_VALUE","South Africa","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","16.791","8.711","5.385","2.014","-8.362","5.338","0.250","5.342","8.085","15.508","10.879","18.261","9.366","2.809","-17.660","10.794","11.838","3.868","4.039","-0.687","5.045","-4.133","1.533","3.479","0.553","-17.572","9.703","14.974","3.934"
"IMF.RES:WEO(9.0.0)","ZAF.TX_RPCH.A","OBS_VALUE","South Africa","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","10.937","7.204","5.296","3.246","1.261","8.314","2.393","0.989","0.109","2.834","8.567","7.463","7.829","1.550","-17.024","7.718","3.008","1.112","3.733","3.646","3.060","0.407","-0.273","2.748","-3.313","-12.004","9.689","7.756","5.112"
"IMF.RES:WEO(9.0.0)","ZAF.GGR_NGDP.A","OBS_VALUE","South Africa","Revenue, General government, Percent of GDP","Annual","Units","","","","","","21.264","21.605","21.255","21.031","21.664","25.039","25.480","25.644","25.521","23.790","23.826","24.375","24.579","25.006","25.395","25.790","26.184","25.844","26.420","26.322","24.994","27.114","27.639","26.911"
"IMF.RES:WEO(9.0.0)","NZL.TM_RPCH.A","OBS_VALUE","New Zealand","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","8.836","7.305","3.163","-0.113","12.255","-0.758","2.279","9.802","8.470","16.904","6.246","-2.378","9.147","3.614","-14.674","10.791","7.042","2.784","6.243","8.073","4.617","3.654","7.115","6.906","2.327","-15.497","14.530","4.760","-0.369"
"IMF.RES:WEO(9.0.0)","ZAF.LUR.A","OBS_VALUE","South Africa","Unemployment rate","Annual","Units","16.500","20.300","22.000","26.100","23.300","23.000","25.950","27.800","27.650","25.150","24.650","23.550","23.000","22.525","23.700","24.875","24.800","24.875","24.725","25.100","25.350","26.725","27.450","27.125","28.700","29.175","34.300","33.500","32.375"
"IMF.RES:WEO(9.0.0)","ZAF.NID_NGDP.A","OBS_VALUE","South Africa","Gross capital formation, Percent of GDP","Annual","Units","17.700","16.568","16.294","16.428","15.655","15.060","14.574","15.036","15.657","16.960","16.832","18.490","19.326","21.287","18.767","17.596","18.853","18.585","19.169","18.488","18.633","16.960","16.611","16.171","15.821","12.346","12.836","15.672","15.391"
"IMF.RES:WEO(9.0.0)","NZL.TX_RPCH.A","OBS_VALUE","New Zealand","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","4.400","4.403","3.011","2.101","8.353","7.650","3.314","6.932","2.349","5.073","-0.494","1.817","4.838","-1.239","2.116","3.293","2.577","1.861","0.867","3.421","8.105","2.734","2.599","3.056","2.567","-13.511","-2.328","-0.453","10.982"
"IMF.RES:WEO(9.0.0)","ZAF.GGXWDG_NGDP.A","OBS_VALUE","South Africa","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","37.929","38.045","31.801","31.514","30.733","29.637","28.030","24.326","24.045","26.995","31.185","34.742","37.408","40.356","43.253","45.195","47.134","48.588","51.536","56.101","68.927","68.819","70.715","73.220"
"IMF.RES:WEO(9.0.0)","NZL.NGDP_RPCH.A","OBS_VALUE","New Zealand","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.893","4.075","2.449","0.407","4.486","4.215","2.521","4.704","4.427","4.841","3.216","2.814","3.497","-0.169","-1.038","1.724","1.654","2.570","2.171","3.807","3.606","3.969","3.341","3.478","3.020","-1.311","5.691","2.858","1.826"
"IMF.RES:WEO(9.0.0)","NZL.NID_NGDP.A","OBS_VALUE","New Zealand","Gross capital formation, Percent of GDP","Annual","Units","23.298","23.442","23.146","21.074","22.589","22.638","21.803","23.376","23.622","25.313","25.455","23.857","24.778","23.841","19.776","20.543","20.160","21.449","22.100","22.883","23.094","23.011","23.338","24.226","24.063","22.235","25.003","26.323","24.269"
"IMF.RES:WEO(9.0.0)","ZAF.BCA_NGDPD.A","OBS_VALUE","South Africa","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.452","-1.014","-1.314","-1.549","-0.449","-0.113","0.246","0.807","-0.735","-2.472","-2.792","-4.028","-4.846","-5.018","-2.435","-1.336","-2.006","-4.689","-5.326","-4.806","-4.339","-2.676","-2.368","-2.929","-2.604","1.969","3.732","-0.324","-1.086"
"IMF.RES:WEO(9.0.0)","ZAF.NGSD_NGDP.A","OBS_VALUE","South Africa","Gross national savings, Percent of GDP","Annual","Units","16.248","15.555","14.980","14.879","15.206","14.947","14.820","15.843","14.922","14.489","14.039","14.462","14.480","16.269","16.332","16.260","16.847","13.895","13.842","13.682","14.294","14.285","14.243","13.242","13.216","14.315","16.568","15.348","14.305"
"IMF.RES:WEO(9.0.0)","ZAF.NGDP_RPCH.A","OBS_VALUE","South Africa","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.100","4.300","2.600","0.500","2.400","4.200","2.700","3.700","2.949","4.555","5.277","5.604","5.360","3.191","-1.538","3.040","3.169","2.396","2.485","1.414","1.322","0.665","1.158","1.557","0.260","-6.169","4.859","2.058","0.806"
"IMF.RES:WEO(9.0.0)","NZL.PCPIPCH.A","OBS_VALUE","New Zealand","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.755","2.286","1.187","1.265","-0.114","2.615","2.626","2.677","1.754","2.290","3.037","3.365","2.376","3.959","2.116","2.302","4.028","1.060","1.134","1.228","0.293","0.646","1.851","1.598","1.620","1.715","3.941","7.172","5.733"
"IMF.RES:WEO(9.0.0)","NZL.NGSD_NGDP.A","OBS_VALUE","New Zealand","Gross national savings, Percent of GDP","Annual","Units","19.412","18.334","18.675","18.182","18.131","19.318","21.256","20.998","21.296","20.292","18.218","17.228","17.849","15.687","17.469","25.280","20.120","17.399","19.009","19.387","20.284","20.959","20.472","19.991","21.205","21.165","18.980","17.083","17.346"
"IMF.RES:WEO(9.0.0)","CHL.BCA_NGDPD.A","OBS_VALUE","Chile","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.815","-3.798","-4.146","-4.659","0.256","-1.011","-1.396","-0.683","0.216","3.261","1.913","5.497","5.054","-4.192","1.440","0.896","-4.920","-5.326","-4.778","-3.462","-2.733","-2.622","-2.756","-4.490","-5.217","-1.949","-7.279","-8.849","-3.128"
"IMF.RES:WEO(9.0.0)","CHL.GGX_NGDP.A","OBS_VALUE","Chile","Expenditure, General government, Percent of GDP","Annual","Units","19.451","20.635","20.582","21.905","23.692","22.870","23.181","23.202","22.218","20.816","20.249","18.730","19.307","21.791","24.976","23.466","22.886","23.089","23.113","23.853","25.028","25.367","25.493","25.616","26.497","29.088","33.615","26.725","27.397"
"IMF.RES:WEO(9.0.0)","CHL.GGR_NGDP.A","OBS_VALUE","Chile","Revenue, General government, Percent of GDP","Annual","Units","22.552","22.706","22.621","22.296","21.675","22.177","22.687","22.031","21.803","22.866","24.817","26.239","27.261","25.722","20.717","23.104","24.313","23.772","22.643","22.356","22.939","22.706","22.865","24.133","23.767","21.993","26.090","28.085","25.123"
"IMF.RES:WEO(9.0.0)","COL.NGDP_RPCH.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.202","2.056","3.430","0.570","-4.204","2.925","1.678","2.504","3.918","5.333","4.447","6.717","6.738","3.283","1.140","4.494","6.948","3.913","5.134","4.499","2.956","2.087","1.359","2.564","3.187","-7.186","10.801","7.328","0.712"
