"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","USA.PCPIPCH.A","OBS_VALUE","United States","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.805","2.937","2.338","1.547","2.193","3.367","2.817","1.596","2.298","2.668","3.366","3.222","2.871","3.815","-0.320","1.637","3.140","2.073","1.466","1.615","0.121","1.267","2.131","2.439","1.813","1.253","4.679","7.993","4.128"
"IMF.RES:WEO(9.0.0)","GBR.NGDP_RPCH.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.386","2.582","4.925","3.403","3.058","4.342","2.573","1.796","3.152","2.458","2.733","2.381","2.625","-0.249","-4.621","2.233","1.138","1.509","1.800","3.195","2.223","1.922","2.657","1.405","1.624","-10.297","8.576","4.839","0.397"
"IMF.RES:WEO(9.0.0)","USA.GGXCNL_NGDP.A","OBS_VALUE","United States","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","-0.544","-3.821","-4.771","-4.244","-3.075","-2.036","-2.913","-6.612","-13.177","-10.993","-9.716","-8.114","-4.561","-4.026","-3.530","-4.356","-4.794","-5.335","-5.805","-14.121","-11.434","-3.720","-7.798"
"IMF.RES:WEO(9.0.0)","USA.NID_NGDP.A","OBS_VALUE","United States","Gross capital formation, Percent of GDP","Annual","Units","21.273","21.702","22.410","22.958","23.419","23.678","22.177","21.723","21.746","22.652","23.376","23.538","22.557","21.037","17.769","18.672","19.034","19.951","20.379","20.901","21.415","20.888","21.156","21.569","21.670","21.438","21.407","22.027","21.570"
"IMF.RES:WEO(9.0.0)","USA.TM_RPCH.A","OBS_VALUE","United States","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","8.000","8.698","13.465","11.690","11.595","13.000","-2.462","3.669","5.123","10.984","6.490","6.419","2.566","-2.148","-12.627","12.968","4.816","2.449","1.212","5.160","5.191","1.458","4.710","4.038","1.176","-8.823","14.569","8.466","-0.864"
"IMF.RES:WEO(9.0.0)","USA.BCA_NGDPD.A","OBS_VALUE","United States","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.487","-1.546","-1.641","-2.373","-2.976","-3.921","-3.724","-4.173","-4.559","-5.205","-5.746","-5.911","-5.089","-4.716","-2.623","-2.871","-2.919","-2.573","-2.011","-2.102","-2.233","-2.107","-1.874","-2.125","-2.052","-2.777","-3.619","-3.812","-3.337"
"IMF.RES:WEO(9.0.0)","USA.TX_RPCH.A","OBS_VALUE","United States","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","10.277","8.174","11.908","2.338","4.980","8.312","-5.580","-1.954","2.105","9.644","6.945","9.478","8.762","5.789","-8.311","12.647","7.178","4.019","3.010","3.902","0.320","0.474","4.115","2.854","0.533","-12.623","6.459","7.613","2.790"
"IMF.RES:WEO(9.0.0)","GBR.NGSD_NGDP.A","OBS_VALUE","United Kingdom","Gross national savings, Percent of GDP","Annual","Units","18.237","18.544","17.471","17.795","15.789","16.491","16.341","16.149","15.893","15.390","15.882","15.090","14.848","13.744","11.746","13.388","14.259","12.894","11.511","12.368","12.876","12.412","14.949","14.123","15.562","14.638","17.244","16.643","14.286"
"IMF.RES:WEO(9.0.0)","GBR.TX_RPCH.A","OBS_VALUE","United Kingdom","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","9.010","7.102","12.312","3.030","3.511","9.757","2.888","0.944","1.708","5.108","7.560","12.711","-1.561","2.724","-8.848","6.531","6.938","0.748","0.291","1.009","3.771","2.768","6.766","3.079","2.001","-11.792","3.230","12.568","-0.418"
"IMF.RES:WEO(9.0.0)","GBR.NID_NGDP.A","OBS_VALUE","United Kingdom","Gross capital formation, Percent of GDP","Annual","Units","18.618","18.808","17.610","18.077","17.904","18.322","18.114","18.123","17.716","17.692","17.879","18.210","18.577","17.606","14.814","16.149","15.889","16.040","16.155","17.390","17.824","17.859","18.443","18.050","18.250","17.572","17.681","18.744","17.794"
