COUNTRY,YEAR,RF_Forecast,RF_Lower_95,RF_Upper_95,RF_CI_Width,XGB_Forecast,XGB_Lower_95,XGB_Upper_95,XGB_CI_Width,Ensemble_Forecast,Ensemble_Lower_95,Ensemble_Upper_95
Belgium,2024,3.248914496620446,0.284696875,6.133973684210526,5.849276809210526,2.94263,2.9426329135894775,2.9426329135894775,0.0,3.0957722745934872,1.6136648942947387,4.538303298900002
Belgium,2025,1.9995819453253545,-1.6047714285714285,4.880361344537815,6.485132773109243,2.436039,2.4360415935516357,2.4360415935516357,0.0,2.2178104581363103,0.4156350824901036,3.6582014690447253
Belgium,2026,1.0845104373168193,-2.6900895089285712,3.8420442255434777,6.532133734472049,1.8105873,1.810585618019104,1.810585618019104,0.0,1.4475488621329884,-0.4397519454547336,2.826314921781291
Belize,2024,3.791335626274349,-4.4328609375,9.098226620370362,13.53108755787036,3.8439732,3.843975067138672,3.843975067138672,0.0,3.817654393032194,-0.2944429351806641,6.471100843754517
Belize,2025,4.176165317945618,0.5738889386189258,7.148070624999999,6.574181686381073,3.5221865,3.5221869945526123,3.5221869945526123,0.0,3.8491759178305363,2.048037966585769,5.335128809776306
Belize,2026,2.1536021092332724,-1.2705775362318839,4.8183455882352915,6.0889231244671755,2.3549926,2.3549914360046387,2.3549914360046387,0.0,2.2542973686654033,0.5422069498863774,3.586668512119965
Benin,2024,6.608815376123924,3.7018125,9.603154119318175,5.901341619318175,6.037103,6.0370965003967285,6.0370965003967285,0.0,6.322959276120434,4.869454500198364,7.820125309857452
Benin,2025,6.7485082094284,4.4077158333333335,9.119970312499996,4.7122544791666625,5.873454,5.873457908630371,5.873457908630371,0.0,6.310981151680753,5.140586870981853,7.4967141105651836
Benin,2026,6.807891090972327,4.192122156862746,9.037959584584584,4.845837427721838,6.075923,6.075919151306152,6.075919151306152,0.0,6.441907028487872,5.134020654084449,7.556939367945368
Bhutan,2024,3.130709112617154,-1.2784990196078434,6.788670880681811,8.067169900289654,3.2926056,3.292609691619873,3.292609691619873,0.0,3.2116573755605913,1.0070553360060148,5.0406402861508415
Bhutan,2025,5.169933599822688,0.6230307692307693,9.25322458333333,8.63019381410256,4.8490314,4.849035263061523,4.849035263061523,0.0,5.009482524093473,2.7360330161461466,7.0511299231974265
Bhutan,2026,6.4619111528610125,1.8345441348973606,11.477870238095237,9.643326103197877,5.6880884,5.688089847564697,5.688089847564697,0.0,6.074999784957118,3.7613169912310287,8.582980042829966
Bolivia,2024,2.808362553767562,-1.6687795909090906,7.1014356617647065,8.770215252673797,2.849134,2.849132776260376,2.849132776260376,0.0,2.828748261060417,0.5901765926756427,4.975284219012542
Bolivia,2025,0.24284981084806745,-3.9760837301587295,5.4884916666666665,9.464575396825396,1.650009,1.650009036064148,1.650009036064148,0.0,0.9464294234561077,-1.1630373470472908,3.5692503513654072
Bolivia,2026,0.8153415997266139,-4.770709375,4.891822727272724,9.662532102272724,1.3186737,1.3186742067337036,1.3186742067337036,0.0,1.0670076648115796,-1.7260175841331482,3.105248467003214
Bosnia and Herzegovina,2024,3.584515438960102,-1.149564903846154,7.316855769230765,8.466420673076918,2.9281716,2.9281704425811768,2.9281704425811768,0.0,3.256343536817087,0.8893027693675114,5.122513105905971
Bosnia and Herzegovina,2025,3.2892743761974006,0.6502612922705314,5.717482291666661,5.067220999396129,3.2280087,3.2280116081237793,3.2280116081237793,0.0,3.2586415616491156,1.9391364501971553,4.47274694989522
Bosnia and Herzegovina,2026,1.7162118041278889,-1.27880825,4.2927408333333315,5.571549083333331,2.405957,2.4059557914733887,2.4059557914733887,0.0,2.0610843938470866,0.5635737707366943,3.34934831240336
Botswana,2024,3.384542823227708,-3.6398599999999997,7.352468487394957,10.992328487394957,3.6178489,3.6178457736968994,3.6178457736968994,0.0,3.501195848183068,-0.011007113151550119,5.485157130545929
Botswana,2025,1.4915246039031584,-3.97111625,6.777076081730766,10.748192331730767,2.0525372,2.052539348602295,2.052539348602295,0.0,1.7720309033691208,-0.9592884506988526,4.41480771516653
Botswana,2026,1.9174364456238697,-3.714383611111111,6.342446093749998,10.056829704861109,2.0839396,2.083941698074341,2.083941698074341,0.0,2.0006879989654993,-0.815220956518385,4.21319389591217
Brazil,2024,3.6895970788438497,0.027216452991453012,7.126848214285712,7.099631761294258,3.4429293,3.442925453186035,3.442925453186035,0.0,3.5662631733635752,1.735070953088744,5.284886833735873
Brazil,2025,3.512670367779546,0.9327128124999999,6.072832999999999,5.140120187499999,3.3427234,3.3427252769470215,3.3427252769470215,0.0,3.427696868688967,2.137719044723511,4.70777913847351
Brazil,2026,2.432397899183981,-1.110860357142857,5.129539130434782,6.24039948757764,2.824169,2.8241686820983887,2.8241686820983887,0.0,2.628283409850474,0.8566541624777658,3.9768539062665855
Brunei Darussalam,2024,1.7142405441860975,-2.0775050904977377,5.9080499999999985,7.985555090497736,2.121739,2.1217408180236816,2.1217408180236816,0.0,1.917989727430573,0.02211786376297198,4.0148954090118405
Brunei Darussalam,2025,2.4887273958270772,-1.9713092105263152,5.9132382352941155,7.884547445820431,2.8310437,2.8310444355010986,2.8310444355010986,0.0,2.659885558036219,0.4298676124873917,4.3721413353976075
Brunei Darussalam,2026,1.166987694469817,-3.5341237499999996,4.734942187499995,8.269065937499995,1.7160802,1.7160812616348267,1.7160812616348267,0.0,1.4415339416105188,-0.9090212441825865,3.225511724567411
Bulgaria,2024,3.1232254857943937,-0.5739000000000001,6.4386237499999925,7.012523749999993,2.9333198,2.933321237564087,2.933321237564087,0.0,3.028272646423503,1.1797106187820434,4.68597249378204
Bulgaria,2025,2.996755709658029,0.7462538596491227,5.339758229166665,4.593504369517542,3.2750764,3.2750768661499023,3.2750768661499023,0.0,3.1359160494853864,2.0106653628995126,4.307417547658284
Bulgaria,2026,2.73138522841042,-0.21504375,5.39801375,5.6130575,3.031247,3.0312438011169434,3.0312438011169434,0.0,2.8813160644844458,1.4081000255584717,4.214628775558472
